year_month,borough,borocode,sales_index,rental_index
2022-11,NYC,,627320,3335
2022-10,MN,1,1113600,3747
2022-10,BK,3,725345,3147
2022-10,QN,4,532339,2426
2022-10,NYC,,632268,3347
2022-09,MN,1,1113096,3752
2022-09,BK,3,725491,3129
2022-09,QN,4,530019,2411
2022-09,NYC,,630008,3342
2022-08,MN,1,1117615,3725
2022-08,BK,3,726293,3096
2022-08,QN,4,533583,2390
2022-08,NYC,,631662,3315
2022-07,MN,1,1116779,3683
2022-07,BK,3,723708,3057
2022-07,QN,4,530738,2363
2022-07,NYC,,631726,3276
2022-06,MN,1,1109675,3633
2022-06,BK,3,718115,3010
2022-06,QN,4,528432,2327
2022-06,NYC,,628724,3229
2022-05,MN,1,1100005,3576
2022-05,BK,3,717694,2959
2022-05,QN,4,528834,2292
2022-05,NYC,,626401,3175
2022-04,MN,1,1094520,3512
2022-04,BK,3,708766,2918
2022-04,QN,4,528233,2264
2022-04,NYC,,623328,3122
2022-03,MN,1,1087334,3452
2022-03,BK,3,707470,2876
2022-03,QN,4,524833,2245
2022-03,NYC,,620501,3074
2022-02,MN,1,1084659,3392
2022-02,BK,3,702272,2838
2022-02,QN,4,522761,2227
2022-02,NYC,,617775,3028
2022-01,MN,1,1078755,3336
2022-01,BK,3,700743,2802
2022-01,QN,4,521479,2208
2022-01,NYC,,616759,2984
2021-12,MN,1,1072477,3280
2021-12,BK,3,705297,2765
2021-12,QN,4,519010,2180
2021-12,NYC,,614305,2939
2021-11,MN,1,1067350,3221
2021-11,BK,3,698878,2738
2021-11,QN,4,518187,2154
2021-11,NYC,,610157,2895
2021-10,MN,1,1061014,3154
2021-10,BK,3,706414,2706
2021-10,QN,4,516117,2119
2021-10,NYC,,609480,2844
2021-09,MN,1,1052284,3080
2021-09,BK,3,702476,2664
2021-09,QN,4,517479,2082
2021-09,NYC,,606988,2786
2021-08,MN,1,1047283,2996
2021-08,BK,3,696415,2618
2021-08,QN,4,517904,2049
2021-08,NYC,,606157,2721
2021-07,MN,1,1044513,2906
2021-07,BK,3,695537,2572
2021-07,QN,4,514900,2012
2021-07,NYC,,605478,2653
2021-06,MN,1,1036806,2823
2021-06,BK,3,690506,2529
2021-06,QN,4,516156,1989
2021-06,NYC,,603945,2591
2021-05,MN,1,1031026,2759
2021-05,BK,3,690751,2495
2021-05,QN,4,517964,1970
2021-05,NYC,,604973,2543
2021-04,MN,1,1028389,2718
2021-04,BK,3,685333,2472
2021-04,QN,4,515491,1970
2021-04,NYC,,603385,2514
2021-03,MN,1,1027835,2705
2021-03,BK,3,682171,2461
2021-03,QN,4,512654,1973
2021-03,NYC,,603611,2505
2021-02,MN,1,1032741,2715
2021-02,BK,3,685432,2464
2021-02,QN,4,517936,1986
2021-02,NYC,,608379,2513
2021-01,MN,1,1036084,2743
2021-01,BK,3,694221,2480
2021-01,QN,4,519627,2003
2021-01,NYC,,612829,2536
2020-12,MN,1,1038374,2789
2020-12,BK,3,697286,2505
2020-12,QN,4,519480,2033
2020-12,NYC,,610976,2572
2020-11,MN,1,1045776,2845
2020-11,BK,3,704955,2539
2020-11,QN,4,515334,2065
2020-11,NYC,,612752,2617
2020-10,MN,1,1055033,2912
2020-10,BK,3,708538,2580
2020-10,QN,4,513723,2094
2020-10,NYC,,613720,2668
2020-09,MN,1,1062193,2988
2020-09,BK,3,708439,2622
2020-09,QN,4,516875,2126
2020-09,NYC,,616788,2727
2020-08,MN,1,1068797,3059
2020-08,BK,3,709880,2656
2020-08,QN,4,515132,2150
2020-08,NYC,,616933,2779
2020-07,MN,1,1074856,3120
2020-07,BK,3,719272,2684
2020-07,QN,4,517429,2169
2020-07,NYC,,619210,2824
2020-06,MN,1,1076752,3169
2020-06,BK,3,718775,2704
2020-06,QN,4,520070,2179
2020-06,NYC,,621675,2859
2020-05,MN,1,1083258,3208
2020-05,BK,3,717356,2722
2020-05,QN,4,517373,2188
2020-05,NYC,,621897,2887
2020-04,MN,1,1084641,3243
2020-04,BK,3,723841,2733
2020-04,QN,4,521221,2192
2020-04,NYC,,627798,2911
2020-03,MN,1,1083826,3264
2020-03,BK,3,728355,2734
2020-03,QN,4,523436,2199
2020-03,NYC,,630107,2923
2020-02,MN,1,1089569,3275
2020-02,BK,3,725976,2727
2020-02,QN,4,519622,2193
2020-02,NYC,,628480,2926
2020-01,MN,1,1096693,3276
2020-01,BK,3,727067,2721
2020-01,QN,4,520355,2189
2020-01,NYC,,631699,2924
2019-12,MN,1,1097357,3277
2019-12,BK,3,721845,2717
2019-12,QN,4,517661,2190
2019-12,NYC,,629677,2924
2019-11,MN,1,1104041,3286
2019-11,BK,3,721406,2716
2019-11,QN,4,519455,2193
2019-11,NYC,,630580,2928
2019-10,MN,1,1103531,3290
2019-10,BK,3,724832,2712
2019-10,QN,4,519837,2196
2019-10,NYC,,631260,2931
2019-09,MN,1,1102477,3293
2019-09,BK,3,723697,2705
2019-09,QN,4,519461,2194
2019-09,NYC,,630605,2930
2019-08,MN,1,1109308,3288
2019-08,BK,3,718502,2691
2019-08,QN,4,519067,2190
2019-08,NYC,,629989,2922
2019-07,MN,1,1114530,3274
2019-07,BK,3,724986,2671
2019-07,QN,4,522388,2180
2019-07,NYC,,632264,2907
2019-06,MN,1,1118076,3256
2019-06,BK,3,726850,2655
2019-06,QN,4,521600,2166
2019-06,NYC,,632600,2890
2019-05,MN,1,1119729,3239
2019-05,BK,3,733902,2639
2019-05,QN,4,524415,2154
2019-05,NYC,,635602,2874
