year_month,borough,borocode,sales_index,rental_index
2008-04,MN,1,1011912,2698
2008-04,BK,3,631110,
2008-04,QN,4,484442,
2008-04,NYC,,601825,2363
2008-03,MN,1,1014641,2699
2008-03,BK,3,637534,
2008-03,QN,4,488422,
2008-03,NYC,,606319,2363
2008-02,MN,1,1012479,2693
2008-02,BK,3,642220,
2008-02,QN,4,491579,
2008-02,NYC,,609072,2358
2008-01,MN,1,1005342,2695
2008-01,BK,3,645923,
2008-01,QN,4,493348,
2008-01,NYC,,608943,2355
2007-12,MN,1,1007824,2692
2007-12,BK,3,651677,
2007-12,QN,4,501204,
2007-12,NYC,,614197,2353
2007-11,MN,1,1008520,2682
2007-11,BK,3,652606,
2007-11,QN,4,502927,
2007-11,NYC,,615467,2345
2007-10,MN,1,1001413,2661
2007-10,BK,3,648039,
2007-10,QN,4,507975,
2007-10,NYC,,614243,2333
2007-09,MN,1,993055,2650
2007-09,BK,3,647812,
2007-09,QN,4,507099,
2007-09,NYC,,612928,2320
2007-08,MN,1,986546,2634
2007-08,BK,3,651107,
2007-08,QN,4,509433,
2007-08,NYC,,612506,2302
2007-07,MN,1,977157,2599
2007-07,BK,3,650199,
2007-07,QN,4,511343,
2007-07,NYC,,610865,2275
2007-06,MN,1,971057,2560
2007-06,BK,3,650331,
2007-06,QN,4,511745,
2007-06,NYC,,609863,2242
2007-05,MN,1,958021,2538
2007-05,BK,3,650449,
2007-05,QN,4,510922,
2007-05,NYC,,608010,2224
2007-04,MN,1,945004,2512
2007-04,BK,3,652211,
2007-04,QN,4,515719,
2007-04,NYC,,606946,2199
2007-03,MN,1,928699,2482
2007-03,BK,3,649885,
2007-03,QN,4,517830,
2007-03,NYC,,603778,2185
2007-02,MN,1,938854,2474
2007-02,BK,3,653163,
2007-02,QN,4,520230,
2007-02,NYC,,608440,2171
2007-01,MN,1,946478,2532
2007-01,BK,3,662223,
2007-01,QN,4,521216,
2007-01,NYC,,614008,2205
2006-12,MN,1,950816,
2006-12,BK,3,659448,
2006-12,QN,4,521638,
2006-12,NYC,,615611,
2006-11,MN,1,954810,
2006-11,BK,3,652562,
2006-11,QN,4,523212,
2006-11,NYC,,615979,
2006-10,MN,1,950729,
2006-10,BK,3,652531,
2006-10,QN,4,521287,
2006-10,NYC,,613981,
2006-09,MN,1,949713,
2006-09,BK,3,654071,
2006-09,QN,4,517415,
2006-09,NYC,,612929,
2006-08,MN,1,942465,
2006-08,BK,3,642512,
2006-08,QN,4,516584,
2006-08,NYC,,609100,
2006-07,MN,1,938558,
2006-07,BK,3,634767,
2006-07,QN,4,509756,
2006-07,NYC,,604703,
2006-06,MN,1,929207,
2006-06,BK,3,627952,
2006-06,QN,4,501292,
2006-06,NYC,,597873,
2006-05,MN,1,920718,
2006-05,BK,3,620331,
2006-05,QN,4,500774,
2006-05,NYC,,593357,
2006-04,MN,1,917232,
2006-04,BK,3,610036,
2006-04,QN,4,496642,
2006-04,NYC,,589234,
2006-03,MN,1,913192,
2006-03,BK,3,609485,
2006-03,QN,4,495428,
2006-03,NYC,,586889,
2006-02,MN,1,922277,
2006-02,BK,3,611877,
2006-02,QN,4,495880,
2006-02,NYC,,591125,
2006-01,MN,1,919346,
2006-01,BK,3,602697,
2006-01,QN,4,492635,
2006-01,NYC,,587372,
2005-12,MN,1,917258,
2005-12,BK,3,608312,
2005-12,QN,4,487776,
2005-12,NYC,,586660,
2005-11,MN,1,918618,
2005-11,BK,3,609345,
2005-11,QN,4,485582,
2005-11,NYC,,586422,
2005-10,MN,1,910701,
2005-10,BK,3,603996,
2005-10,QN,4,478737,
2005-10,NYC,,580791,
2005-09,MN,1,901537,
2005-09,BK,3,604122,
2005-09,QN,4,474138,
2005-09,NYC,,576215,
2005-08,MN,1,887231,
2005-08,BK,3,597540,
2005-08,QN,4,470570,
2005-08,NYC,,569575,
2005-07,MN,1,871294,
2005-07,BK,3,590799,
2005-07,QN,4,463020,
2005-07,NYC,,561023,
2005-06,MN,1,855208,
2005-06,BK,3,580683,
2005-06,QN,4,455201,
2005-06,NYC,,551428,
2005-05,MN,1,837014,
2005-05,BK,3,561113,
2005-05,QN,4,453520,
2005-05,NYC,,540425,
2005-04,MN,1,821335,
2005-04,BK,3,559111,
2005-04,QN,4,444905,
2005-04,NYC,,531976,
2005-03,MN,1,814112,
2005-03,BK,3,552429,
2005-03,QN,4,438291,
2005-03,NYC,,526508,
2005-02,MN,1,809271,
2005-02,BK,3,538137,
2005-02,QN,4,443744,
2005-02,NYC,,523114,
2005-01,MN,1,811805,
2005-01,BK,3,528739,
2005-01,QN,4,437816,
2005-01,NYC,,522271,
